Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
1009,0.0,66601.5150470133,75865.37955288863,68521.70467853539,69247.34264395763,65654.43346152462
1013,0.0,102587.73909280132,114934.13595115217,101493.83454953243,110007.52557678126,109428.8557622994
1019,0.0,125057.08832674217,125447.62695668329,128276.41267148181,130877.47240229772,117887.52538560741
1021,0.0,78603.63144152921,83833.66005972054,77570.90470187512,77766.5079883314,72152.52061283248
1031,0.0,107733.88814972018,106244.9990669206,105729.19567262588,106744.02172903702,94798.57582530032
1033,124035.01322121701,117718.90607088279,125622.60573925446,106749.2337188257,120926.23974891055,124144.07175014564
1039,0.0,61434.15878926196,65994.62081172224,64517.513478964785,70150.33555842077,66626.20790649707
1049,0.0,111269.38907257233,111478.36104185351,114387.83540418156,104420.45946176244,99654.74754492575
1051,0.0,119445.57272259281,112080.61059982797,116244.28156566604,123423.54525031868,111729.52426464579
1061,0.0,75826.55650983413,69169.2804417317,69780.91914992666,79244.60580097651,71672.29466651267
1063,0.0,110935.85726555568,128815.08772740536,118946.04296153598,116999.48251561006,113006.15044599511
1069,0.0,163241.6480150597,162752.21315851307,150123.08628487823,153209.60460566205,163423.1465851857
1087,0.0,67604.48597150204,75425.27724582574,73189.94717717807,80420.81133957367,71975.8238106056
1091,0.0,145796.13855563587,152350.76044764277,152774.44343365115,143494.2006230115,142849.62566678567
1093,0.0,106289.08420199112,114991.14336945207,114078.7406531307,108857.86422942314,98660.25718515899
1097,0.0,102950.59685491161,99961.03546713306,98739.95947554044,108303.98368452076,91261.4339719039
1103,0.0,113206.21122869852,119089.88330760563,114709.67222770238,120500.23231363719,119803.41367328295
1109,0.0,105809.99329627416,106802.88867487361,104507.04497642633,93519.00805268202,99450.69019051192
1117,0.0,90123.1965274691,97475.66415446563,88762.7912853881,90399.03012758953,97405.05751360343
1123,0.0,144214.45127336687,142324.97505831224,148964.55835833153,154554.8394788255,142434.84928031333
1129,0.0,118443.79035898346,128968.21044106333,118130.98036711405,126851.36578661551,123276.74552281007
1151,0.0,111128.727520276,116025.09162831363,104466.47136351353,114506.2395311365,117872.76991414311
1153,0.0,60419.84925502524,62690.32516837011,50882.8084718418,57863.2756623172,56272.36380069044
1163,0.0,140579.89821157552,144667.94934175388,135493.20731144404,138983.36324279194,134811.87913790665
1171,0.0,111982.87674219898,109255.25577691493,102301.87199318902,106492.177440773,113177.38194394196
1181,0.0,87421.95097705239,87276.15055082897,85772.17104140253,94305.37483671455,89966.88238602839
1187,115652.65934746189,115536.5037210765,112094.2641860187,116215.47408379352,107961.6571138781,113453.48243763176
1193,0.0,88316.81134258576,90755.87072935655,82122.43414571171,88867.01624857257,83961.01165455193
