Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
1009,0.0,73449.2086789004,77095.68411795392,80063.36256038235,66565.19946502242,8010.450764979522
1013,0.0,111677.89706168747,131726.88357742736,102600.01217970064,96169.84576691737,107693.66605342874
1019,0.0,122432.62505306886,134955.6697944936,141938.69863746717,131941.59892625286,114289.54346746777
1021,0.0,77904.294812401,60914.086138675,81720.46846799014,85250.43538728033,79406.07334891194
1031,0.0,95991.78318946771,101937.05199530257,90935.96582411438,99514.49102076652,92471.26922988529
1033,0.0,116043.0896225196,104199.89050562707,114729.02814272672,120847.9501119904,52706.83205065446
1039,0.0,70197.71475310423,77299.012137574,66000.01695500729,68800.48139594117,77604.31862921751
1049,0.0,109055.2207686975,107277.54712206862,113511.15496121279,116877.40297576124,103078.31854934184
1051,0.0,115268.67175051355,131716.58160376636,119420.46182103062,114954.42677830406,26636.46654854944
1061,0.0,89036.94713818196,68284.12118817595,75155.47173959983,73911.6937942984,88282.58903517699
1063,0.0,142746.50570940026,120126.16684121036,10735.769584518974,120001.10965724601,99129.31632142511
1069,0.0,132769.28941286754,155642.65839072608,127066.64388772663,137011.42676750474,176897.187207182
1087,0.0,70991.0476464004,75729.68630960473,65882.71487507214,71639.78131850973,75683.69839369273
1091,0.0,139489.78671172765,151901.03915683477,148454.50761465327,160468.0297959248,156515.39900442577
1093,0.0,84432.05455783091,102541.28257049646,100905.33669943408,106483.95007587464,97995.57214922276
1097,0.0,104108.22265432648,105568.13100438577,36030.53483040171,106312.50594637348,85450.75717470991
1103,0.0,102531.2344488324,138407.27944970896,112310.48198929561,138062.29228870987,8948.750045519779
1109,0.0,98038.78237155732,113880.87727529634,93068.0852078176,102130.77772494828,108769.79239445312
1117,0.0,91201.64493681688,109261.28441844421,88960.26221977467,88444.34109477882,97768.22402358477
1123,0.0,168539.29464762862,154754.59604752122,140932.02258210833,148281.6567619887,147483.77884492924
1129,0.0,105241.46275568979,120427.44097677534,141628.01141024867,109071.99911660478,20647.515352637103
1151,0.0,87936.87319201777,137041.4611880127,118855.42755090751,112765.25421366107,90138.01973781874
1153,0.0,60433.266785393294,52336.68472266635,63013.37124360045,47990.22621321726,56797.8315698262
