Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
1009,71573.49645533027,67918.31558243731,70802.38883170829,67918.31558243731,71572.95913310535,67918.31558243731
1013,112411.51278742199,105672.08467923451,111344.92647057415,105672.08467923451,112409.76495625773,105672.08467923451
1019,131811.40030064576,127603.0063893912,130783.0636407321,127603.00638939124,131809.2315210093,11278.064271421099
1021,81433.14773418214,78282.57815670142,80840.83670793883,78282.57815670142,81433.03430918169,78282.57815670142
1031,107249.43906819477,102827.36837898786,106187.58786905496,102827.36837898786,107248.67586113905,102827.36837898786
1033,124149.92502884452,120445.39820487933,123318.4549786422,120445.39820487934,124149.42682889079,120445.39820487937
1039,69000.28043192698,66399.23121126233,68694.60106761452,66399.23121126233,68999.96419963484,66399.23121126233
1049,114677.92069777947,111798.36450577874,113491.43101775742,111797.99673781387,114677.55050697466,111798.36450577874
1051,119548.53687235875,117240.93840619278,118786.27875215939,117240.9384061928,119548.34721329386,117240.93840619281
1061,77674.37126719934,74468.08102161603,77222.09916700052,74468.08102161603,77673.82261101404,74468.08102161603
1063,119771.99459160959,117273.91265520194,119087.92863612932,117274.38954123881,119771.7636567447,117273.91265520194
1069,156918.96406885143,155523.66938296516,155874.38798594536,155523.66938296525,156918.84744242526,155523.66938296525
1087,79522.67237202948,75557.78160396217,79136.11262452703,75557.78160396217,79522.32581781903,75557.78160396217
1091,148316.5275088533,145371.88082298837,147280.07221876332,145371.82679009507,148315.95327141418,145371.88082298837
1093,109743.8654073322,104859.81582134691,108740.90212925238,104859.54984362125,109741.92863342178,104859.81582134691
1097,102053.62765964745,97332.2066340128,101170.31749591927,97332.2066340128,102049.08823643655,10242.822345087643
1103,127102.55008180557,121279.46010750563,125819.84562757915,121280.1452780683,127099.00775210847,34949.39579146316
1109,104277.43667831497,99165.91225073054,102973.58047265062,99166.91719577184,104276.21260232186,99165.91225073054
1117,97060.77479767232,91547.18669995628,96615.28515624435,91547.18669995628,97060.26941732643,91547.18669995628
1123,151359.01290641812,149038.4802550287,150496.47277313186,149038.48025502873,151358.80054628738,149038.48025502873
1129,123135.24981902301,121348.38155547797,122778.6682303179,121348.38155547797,123135.08388056073,121348.38155547797
1151,118251.74807885784,112581.8878757263,116882.8108770687,112581.28270976151,118250.45349685269,112581.8878757263
1153,60462.261001381805,54935.33031557485,59670.39349434206,54933.28473871929,60461.908635923246,54935.33031557485
1163,142631.56026011458,139893.33394516524,141769.98799084016,139892.19971169232,142631.32513061844,139893.33394516524
1171,111080.21199152218,108370.10323924459,110900.27823095745,108370.10323924459,111079.94318281893,108370.10323924459
1181,91729.46275263772,87652.06553736608,91473.08615535455,87652.06553736608,91729.03234197425,14404.625071058865
1187,116640.90921632764,114277.70618387908,116147.56915665945,114277.70618387908,116640.74902420629,114277.70618387908
1193,91685.42981784599,84817.09441182455,91043.28878979773,84817.67643756657,91684.29528770555,84817.09441182455
1201,107929.04857282146,104943.44652358278,107565.1932191791,104942.58623859448,107928.74359323904,104943.4465235828
1213,134135.82408541648,130421.9465185325,133032.22239433537,130421.94651853254,134128.67676682683,130421.94651853254
1217,101498.91735939239,97145.63607411365,100354.59109332721,97145.90317979608,101498.50364324245,97145.63607411365
1223,124593.18686696164,117819.03029340277,124257.70334311057,117819.03029340277,124592.20655706155,117819.03029340277
1229,99337.21247156578,93802.73103605352,98360.407059622,93802.73103605352,99336.77009304483,93802.73103605352
1231,151882.96416824963,146542.7775596514,151175.08148019126,146542.77755965144,151881.9327657516,146542.77755965144
1237,98721.75235949688,97988.14333085016,98660.10570732347,97988.14333085019,98721.70361609026,97988.14333085019
1249,111526.51916914125,104699.50150723275,110791.56384103035,104699.50150723278,111524.57187690161,104699.50150723278
1259,100808.26435732111,98618.02111574043,100330.14396003164,98618.02111574043,100808.07876315634,15505.619123881677
1277,124618.12163205484,119332.7571581179,123560.03445283243,119330.41642215833,124615.73776763325,119332.7571581179
1279,104930.49726115796,101183.42079835289,103484.92733401229,101183.22502717818,104930.28677912723,101183.42079835289
1283,101214.05338957492,98008.32733755588,100590.1042893245,98008.29852608511,101213.75448451717,98008.32733755588
1289,88930.57408222948,84587.61076857179,88154.03503188067,84587.65281878541,88928.12415577832,84587.61076857179
1291,108366.84208099224,100512.15305508423,107694.46498203953,100512.15305508423,108365.01357178412,100512.15305508423
1297,123360.34395125721,119221.07359284375,122278.73131517715,119220.61781705028,123359.8343026082,119221.07359284375
1301,102857.15605571077,99317.30386468688,101965.06184188911,99317.30386468688,102856.78556872546,99317.30386468688
1303,91669.36529997303,89149.40021945088,91288.09378833217,89149.40021945088,91668.96196423282,89149.40021945088
1307,97472.34637215933,94243.83604064965,97045.50650667376,94243.39262081486,97472.01922157906,94243.83604064965
1319,97276.99885810785,95209.51940547585,96918.86542953197,95209.51940547585,97276.55261158038,95209.51940547585
1321,111797.89890851398,107162.96757086084,111029.84395626279,107162.96757086088,111797.21869119954,23529.913940827682
1327,119487.30695402321,115049.84976247937,117982.8021286305,115050.74375956506,119486.80552846164,115049.8497624794
1361,142316.80066861096,139533.6304642989,140926.5496137342,139532.55016706666,142316.61733430653,139533.6304642989
1367,113857.98144615185,107233.44792546872,112902.6483507044,107233.01542590406,113852.53215260022,107233.44792546872
1373,125789.20453994162,124618.215380172,125389.7951412808,124618.2532974351,125789.12705436628,124618.215380172
1381,126926.27046933207,124367.99469275423,125764.76164383003,124367.30714697999,126926.13211095335,124367.99469275425
1399,144300.05886076228,139545.49509620568,142377.32240262194,139547.09178998426,144297.440885722,139545.49509620568
1409,132128.4654835309,129459.48322793328,131778.71322553777,129459.29689203062,132128.26278308264,129459.48322793328
1423,99174.08411584153,97336.37318753992,98560.6017364971,97336.37318753994,99173.99297108705,13970.597076953974
1427,109915.77898967535,103999.25670809178,109013.13755446678,103999.25670809178,109915.28535148062,103999.25670809178
1429,104952.27364272725,100790.71838416789,104220.07118575818,100790.7183841679,104950.4764818842,100790.7183841679
1433,117859.39843345038,113364.70022729922,117213.02897704454,113364.70022729924,117859.05563165243,113364.70022729922
1439,183184.132603821,182671.99099814188,182423.76364123035,182671.99099814188,183184.1096525506,182671.99099814188
1447,139946.26003699022,138279.16241116673,139406.13323167895,138279.16241116673,139946.17631243772,31076.797706477973
1451,104590.2013496252,103306.03288853311,104368.3948455889,103306.03288853311,104590.10909415217,103306.03288853311
1453,84709.0979335695,81506.46104033173,83964.39201902716,81503.82202609742,84708.95336478238,81506.46104033175
1459,138765.19823752544,136321.8960363595,138256.25690844326,136321.8960363595,138764.94374769053,136321.8960363595
1471,134952.1578362204,128829.75778732517,133261.87561217998,128829.75778732519,134948.97532389217,128829.75778732519
1481,156527.72723660094,154740.4663990771,155219.03114212403,154741.3719896649,156527.6467738198,154740.4663990771
1483,122518.78238271564,118873.67721172332,122135.33881492163,118873.67721172335,122518.28774429452,118873.67721172332
1487,124036.66172149887,116706.54306526778,123155.58500901201,116706.54306526778,124035.63858169454,116706.54306526778
1489,113510.20591697695,111151.82560305423,113118.0505655722,111152.83278330154,113509.99612672841,111151.82560305423
1493,120552.38432140026,116495.97772479865,119693.82218138395,116495.97772479865,120551.65787140337,116495.97772479865
1499,55212.150920316846,51709.91726452629,54533.531900878515,51709.529018646695,55211.90532712076,51709.91726452629
1511,112687.9152324049,109586.23474491015,111757.4037947192,109585.11494295816,112687.78428085429,109586.23474491015
1523,131903.28833256933,127318.00469314765,130242.71541791069,127318.44921959187,131903.0620088231,127318.00469314765
1531,122518.76869413126,117702.40495953753,120861.3551812419,117702.40495953753,122518.49487325324,23829.23605912644
1543,133362.67034587718,128247.17072307973,132166.18693455466,128247.45426069264,133362.21320868417,128247.17072307973
1549,121169.22357066422,116025.35430841478,120598.70191430226,116024.77935060939,121168.17481028684,116025.35430841481
1553,145666.18139647323,143603.30592506294,145029.61792814924,143602.07807651564,145666.08142930112,143603.30592506294
1559,135310.09190734348,132945.6236181404,134053.11469711945,132945.6236181404,135309.95072914197,132945.6236181404
1567,149625.5431655435,146052.2700968824,148007.24427274126,146052.2700968824,149624.94556472445,20270.067333508017
1571,128087.9618182595,126439.20045412212,126431.01439800186,126439.74070965915,128087.90842624917,126439.20045412212
1579,134794.3917319055,129273.42155112681,133806.07867512226,129274.0105464634,134792.98358263896,24518.684639523948
1583,117886.09291016181,113856.30383770933,117226.15521623491,113854.78265392825,117885.43331946629,113856.30383770933
1597,163622.4775410449,162516.7253386604,162395.83110313324,162517.18641130862,163622.43799906442,162516.72533866047
1601,123447.1894902014,121790.42616236159,122478.64894291086,121790.93446928565,123447.12232678867,7290.460030096763
1607,109232.6993122093,107012.222271193,108297.19045745721,107012.222271193,109232.62646928894,107012.222271193
1609,138034.33513216194,134932.8423121348,136203.00381793018,134932.84231213483,138034.1952171264,134932.84231213483
1613,94731.90983524732,88659.64033012177,93547.44672528643,88660.29866144127,94731.28024085343,88659.64033012177
1619,125698.05755220224,120512.91664151096,124656.50086315794,120512.29809599654,125697.0721517498,120512.91664151096
1621,102891.92193321291,99100.2493665315,102529.6735511137,99100.2493665315,102891.69096488984,99100.2493665315
1627,110150.68780388136,104362.6631079792,109247.53629653428,104362.66310797921,110150.38779180788,104362.66310797921
1637,159517.03029740712,156662.23890612036,157974.87546043983,156662.23890612036,159516.89030980953,156662.23890612036
1657,163495.94162871764,160439.98542085214,161977.85543942673,160439.98542085214,163495.6650305703,160439.98542085214
1663,87420.5764217603,84992.99918690548,86269.84685036639,84992.9991869055,87420.50115654833,84992.9991869055
1667,113055.56673944421,106200.98121789463,111641.47667229599,106200.98121789463,113052.72989815116,106200.98121789463
1669,114419.89649882916,111902.96536062469,112751.12728878667,111903.81062280717,114419.7841323252,111902.96536062472
1693,89505.24113594553,85748.86920800517,88678.85355863521,85748.86920800517,89505.10031853466,85748.86920800517
1697,142806.29725228692,140153.64111356775,141220.8038398292,140153.64111356775,142806.19138994286,10107.163452578085
1699,149198.3746333866,144591.46820704988,148263.0026654894,144591.4682070499,149197.91644436293,144591.4682070499
1709,139359.9899299182,134075.68463855976,137609.4109569679,134075.68463855976,139359.434207472,134075.68463855976
1721,125732.29831743936,120239.0804987079,124543.37002282646,120239.0804987079,125731.23590545531,120239.0804987079
1723,146614.9681333339,144123.98563045257,145617.4754751004,144123.4598834622,146614.83551260896,30018.27707352881
1733,134307.44011559687,132065.62523289188,133443.29921109794,132065.62523289188,134307.3430195972,132065.62523289188
1741,112000.65323117696,108101.24479429243,111387.93652624897,108101.24479429246,112000.3907600051,108101.24479429246
1747,137107.75849524897,131285.50515580087,136132.4855639165,131285.50515580087,137088.38775839194,131285.50515580087
1753,126863.72235558243,123412.7366193627,126027.83121090507,123412.73661936271,126863.51817088167,123412.73661936271
1759,118749.26628349478,111769.7963872876,117139.48192109229,111769.79638728761,118748.40269693035,111769.79638728761
1777,105541.14143490518,102366.06220315522,105086.48583461794,102366.06220315526,105541.03592735303,102366.06220315526
1783,155702.26855543477,153871.42242883018,154993.33813615702,153870.5364733677,155702.19785962813,153871.42242883018
1787,129976.00320792967,126634.8718688564,128489.01030876713,126634.77047584974,129975.8488377643,31176.09485471839
1789,142326.85399339875,137282.38130651257,140491.8917489907,137282.3813065126,142323.39543641964,137282.3813065126
1801,177575.80535912543,177037.46105876457,176739.154228432,177037.46105876457,177575.79109750912,177037.46105876457
1811,120631.9409992907,117862.64253350587,119267.8849490787,117862.64253350587,120631.76343431084,117862.64253350587
1823,141314.1088092064,136869.4806064661,140371.78401094026,136869.96117450294,141313.76897076206,136869.4806064661
1831,115061.54643189372,110007.76604233787,114446.78733065343,110007.76604233787,115061.01434253593,110007.76604233787
1847,118703.12214190369,115323.90078559084,117982.80723342972,115324.10501058228,118702.97412155202,115323.90078559084
1861,116617.33134578801,112759.59276998726,115566.3973774404,112759.59276998727,116617.07912981596,112759.59276998727
1867,79069.1908330568,74680.66031548809,78720.39151691724,74680.66031548809,79069.00954188092,74680.66031548809
1871,123295.40714289158,120703.36880390976,122527.80421153812,120700.82066580447,123295.27108550094,120703.36880390976
1873,126920.73078159502,123179.76970046392,124992.25103077856,123179.76970046392,126920.60635320585,123179.76970046392
1877,131264.1164378232,126756.41142810308,129775.45184245495,126756.4114281031,131263.17746559813,126756.4114281031
1879,143460.4365989861,140355.16439101964,142071.97075600174,140355.16439101967,143460.29321975211,140355.16439101967
1889,126512.57386738915,124659.26500571494,126034.02426703427,124659.70830456844,126512.512827909,124659.26500571494
1901,142470.95646650114,139121.6806161736,140602.5443254529,139121.68061617363,142470.50258480772,139121.6806161736
1907,147009.47803415405,140596.92478759043,145100.03450924595,140598.31493280648,147007.67760093277,140596.92478759043
1913,78549.19597110602,75389.5725063869,78058.31283452234,75389.57250638692,78549.05009651589,75389.57250638692
1931,116284.8109632302,113519.9909408338,114860.65505858819,113519.99094083381,116284.72939740773,113519.99094083381
1933,145400.11791376577,142879.7858152991,144421.69780919998,142879.78581529914,145400.04045133496,32902.818999305564
1949,118512.08046382843,115222.1980388609,117499.5318428936,115222.19803886094,118511.96934250975,115222.19803886094
