Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
1009,0.0,73907.1517034523,56748.588315989786,7825.608462856026,62811.39597273238,72919.05307857793
1013,0.0,102146.62969207362,98678.5987752257,129137.25117603228,119472.02085239106,100075.45721451777
1019,0.0,128725.14068312288,160065.13165299085,104862.40127998294,131381.88503412312,143457.65961104096
1021,0.0,85926.21035900804,81834.76791398552,82432.60356595236,76982.21235514763,70005.35278106976
1031,0.0,96493.78466487418,106407.38566759617,100925.87581404083,90360.89612428774,82982.26250007868
1033,0.0,111422.88199641074,109794.40034285006,112922.07744758498,112445.51609896573,122992.96711379605
1039,0.0,70277.70933211248,73938.1832949024,69911.04767928559,74092.39096870128,59303.60820497946
1049,0.0,109500.06671161766,117449.35150408621,106840.07294988708,97214.63490253157,97135.2756640922
1051,0.0,115967.4340611324,125126.71135688083,121521.32205466328,120602.87326377441,122562.53495055427
1061,0.0,69300.50934585468,79830.71484896008,85305.29391784128,65264.59637551971,73015.64366810468
1063,0.0,106864.89232691762,128799.4096147935,126924.3927502539,112899.7706865983,100422.60451427028
1069,0.0,137464.87574305534,155473.8822420382,170906.35309816553,131672.5399887459,16701.275972835992
1087,0.0,85379.61947106518,79117.70894637669,78169.54827575119,64888.285132104145,77937.00986520077
1091,0.0,129441.68992403992,145390.59655330717,158988.83058471783,147093.4364911277,128007.70906243022
1093,0.0,89765.63771906032,90329.70869392829,128671.26759157823,86574.97083407585,108526.89420909627
1097,0.0,88759.00053903324,88031.6284425564,108317.70820151527,97259.27656948732,103978.4729980395
1103,0.0,129298.19233211226,137878.90362864372,128728.26931970436,128428.71073662498,18187.388726163248
1109,0.0,106981.82899491132,90574.7164595903,103655.54182749505,103870.64659060628,104258.73412445636
1117,0.0,73450.06414952617,112770.53818622886,29098.24420283575,94017.45837578781,90685.19415432612
1123,0.0,144230.75796415616,143903.26099817376,148195.76065569711,142380.63161457248,134152.5260183865
1129,0.0,122702.52776359928,121720.48802384654,133086.0166037394,122430.98232150289,110836.22751569717
1151,0.0,109859.24811595152,114664.02088006704,131594.08063262206,103343.39019805133,121573.05858312931
1153,0.0,63892.04558148641,55850.17764313263,62340.59025004649,51680.41264723428,49044.76817980028
1163,0.0,119226.77345396017,147991.0352019019,151453.21190114616,120345.40270369571,128509.53997248951
1171,0.0,127699.15588483357,98525.71650742054,96599.32173191391,102757.15415473917,110087.8437489688
1181,0.0,78772.22297023522,106772.03453119591,81324.3953583442,74071.55749112464,80009.70134284181
1187,0.0,119503.4024854828,121531.738821813,117538.85262222795,106765.16343461853,116315.23224039319
1193,0.0,81116.06914250611,94297.21072508063,73200.88586746289,89047.89747791571,77547.32683901596
1201,0.0,107125.3935849563,117810.52792466438,112073.03324895584,112058.10832864625,89793.54847132256
1213,0.0,146087.7629577624,128330.89510073733,140690.22867758098,128761.34735797039,128990.96478578597
1217,0.0,84053.83937588631,100549.65150718499,120495.47634116429,104329.22602545138,84649.66948725634
1223,0.0,105177.61962754437,131986.29577292094,103555.9221824755,142794.86498291633,125099.03084003286
1229,0.0,85456.81803518494,86417.84178411815,105543.32645262603,97658.13697144759,83354.18734937883
1231,0.0,145982.20769096768,169792.3179982359,160058.5834313024,137330.49538538014,153218.00463472938
1237,0.0,91242.44007693914,95119.53048605722,97738.67699848529,81330.78936341964,88654.8750822581
1249,0.0,95177.88929592738,103909.26982523625,101358.3739778081,84524.50230940469,27470.629963456497
1259,0.0,108069.41149770084,104075.5912897641,38607.74441275705,102886.56173838893,102290.44352096488
1277,0.0,129197.4777562595,134662.15389656214,110605.88194944672,112937.56962773179,26134.205614168633
1279,0.0,104840.98445013855,88746.27235976669,12102.996241711697,103865.30877141461,110104.28605121326
1283,0.0,81868.0656523049,109917.18248391584,86600.59329943346,93965.05598009257,87385.90034606685
1289,0.0,79624.25269559931,98082.48965540648,80478.70707269064,84401.71512536357,13087.208859195613
1291,0.0,100898.44234497474,87539.40355164351,107939.87131277806,111300.87378581427,98570.67143367609
1297,0.0,140366.12449158315,113993.78530582838,101849.6905399053,123365.11926611215,131420.3706880486
1301,0.0,95750.18191597775,111236.6669832112,107448.54929910896,108251.68698291204,103406.74189296973
1303,0.0,94847.90883450062,96311.62415183667,96925.96155496285,93006.13986606972,90313.24073420375
1307,0.0,104276.65556368628,86495.78747885217,82413.64437732397,80666.04521634971,104410.5146829492
1319,0.0,94073.08068867883,105029.9964760324,93473.38721109738,82046.36738631764,95206.32000918692
1321,0.0,111214.46540681666,111040.22938630558,100259.90765432248,90847.12186484982,98006.49542282804
1327,0.0,103040.80305686485,93697.64294721367,28062.340665055584,96819.65801822598,107920.56043991515
1361,0.0,152875.55030348356,144729.69599522173,150184.28544885793,161209.03920907938,115293.09049041577
1367,0.0,125729.47535631407,111783.49150493278,117015.35781238835,123583.51986918692,98461.80739680248
1373,0.0,128564.48240002462,117472.51833883667,113293.38917472148,117129.96626408742,126415.1700342893
1381,0.0,125632.1145335766,120993.6948521018,130173.28412333406,119728.92197726833,126735.0228350605
1399,0.0,152763.27423709817,132954.52315461292,136765.77548762562,125880.32777024488,150863.27325468318
1409,0.0,135903.91980099314,126394.02109118832,121486.67805100585,118626.64088707924,132079.52388350078
1423,0.0,86346.53217453524,98072.87680470932,104832.9122751265,84725.44777656971,79139.64008180519
1427,0.0,101239.05397129532,100420.6003893873,109445.67456622735,96961.69002267535,108972.96328232747
1429,0.0,112683.02683093156,109859.153671735,104191.18852643095,103426.2147023374,96426.29509754808
1433,0.0,121275.60201117078,119868.61524329738,111830.49417547064,96699.68985375362,114258.24943958601
1439,0.0,181064.84575133736,178832.1133347101,191486.18147186012,175641.59835819053,20116.026423134215
1447,0.0,136441.97752786046,149255.42613955378,145573.8002178278,138624.80499718487,123606.92244117234
1451,0.0,93607.2926030448,106194.08291594361,106027.8396621485,107234.2771279724,81454.2995280777
1453,0.0,95006.2080246231,86373.29791905789,94613.45466026894,89175.29912488571,89519.15791602843
1459,0.0,134520.092122061,132599.38417337812,142547.36612380174,143732.17532512368,141293.48258451413
1471,0.0,123895.85864518415,137628.13488894244,118968.93389081403,125847.07386054337,149301.93189654427
1481,0.0,139611.2244249261,138623.50404244152,148938.19024036484,142827.6224776841,158211.178065257
1483,0.0,102427.98267668819,122695.51742174603,98619.39808824599,99674.65164419365,125022.12823655702
1487,0.0,137466.6403611406,156890.57307215926,117333.9287363835,135035.89158024872,104772.94930864513
1489,0.0,112743.21583237083,108949.78310007056,121274.50888421478,94879.01516127618,107597.7542128499
1493,0.0,114120.86277572185,111749.54100115411,119868.55924134006,114987.98902904899,129182.0459947293
1499,0.0,50981.11913121265,64986.93683877904,58013.32709828997,46909.541249326605,56727.01277146969
1511,0.0,93959.09290283025,85226.55521290192,115305.5086326875,109867.9586254444,103462.10738620814
1523,0.0,129520.06258637912,128804.0009294069,116527.48884241492,110196.33609119666,115663.97280878515
1531,0.0,133463.73687404845,92482.21316584686,123224.24034863606,115976.02945115059,105586.77826012019
1543,118421.08751714959,145643.79262260083,163277.94902602813,125648.09995203427,127719.95439242225,120552.53370058251
1549,0.0,109506.18545972719,122893.81902816788,104162.79368504268,132287.51941890933,20657.43993932013
1553,0.0,127637.17268300103,158892.51182194168,140545.53007375123,133814.72926281928,139375.78847146104
1559,0.0,132573.14067479444,121560.9261670239,129607.01189855025,128853.43476882389,133122.02144414335
1567,0.0,160216.35369807083,156690.85935801474,129825.21716176948,140219.94800445897,173074.57464057108
1571,0.0,114153.75394372751,133397.7910748881,130091.65160078219,123163.25303451718,120674.45444688601
1579,0.0,146776.08721394712,128779.16950548465,33395.24052999113,133955.99562450222,19217.351488002554
1583,0.0,122403.69470580092,122969.60154951236,104117.53803341341,123853.1497287625,98842.89531709281
1597,0.0,162324.42597095767,147194.4611807705,158110.36224351716,149293.29630960032,174185.7735676335
1601,0.0,130571.6080074873,129360.83171459779,134085.24930178383,123286.98370650146,117002.88947670702
1607,0.0,120810.63299786468,99649.90067822626,104963.03224592311,114698.86114527087,104999.25727498476
1609,0.0,139851.7490872128,154746.546865213,145550.9914912063,113539.59411451413,131601.48950741484
1613,0.0,83972.24120640919,93178.08782296487,81138.25442100073,79489.06394271065,87093.38628913222
1619,0.0,103364.10649329152,123470.29193955817,109420.61504346094,116229.68844921075,136747.07913412186
1621,0.0,94401.47507192154,114880.25559761089,113398.12437449937,100027.07291893486,105588.17824987785
1627,0.0,107649.1705795097,122614.04978866858,104804.03856043807,105120.25995478555,110826.25213994
1637,0.0,129590.83645140949,120528.60706964282,138620.21478116713,127959.66642159091,166607.7103321496
1657,0.0,140149.38339823915,162780.83942274863,151302.10203929507,141453.80508682723,166130.47847128057
1663,0.0,67282.60257245293,93280.10799807342,76298.45686973032,81493.3313493318,88007.91904017483
1667,0.0,103376.45035411754,111190.84147729802,103322.74327674645,109653.95747085875,86903.17066679997
1669,0.0,113389.93018790155,125552.27632409739,103104.7190157575,106857.81451328125,38156.23109166075
1693,0.0,96315.01121203639,76379.43816891003,78160.18245169308,88382.123349774,83378.16914368619
1697,0.0,158896.44611743567,143675.12488118568,16930.778659924705,122086.65072830825,139667.02690812646
1699,0.0,150555.01352453773,158446.35179061265,140508.763515526,152249.34986428128,143205.67765191005
1709,0.0,137713.295101472,125652.02878108426,129039.41893559146,113852.11583081944,132783.18817953867
1721,0.0,133851.78676838576,123215.59538033893,99125.2340709072,109960.5341438291,121147.81818632977
1723,0.0,141848.3987705613,143105.94014931397,159012.01773062558,141506.8151409504,159644.54125208844
1733,0.0,121460.13746601762,145542.55836356827,132023.9674921821,135431.3015355547,137954.7290685127
1741,0.0,129460.5419673347,94634.01563068473,109308.10975863456,105098.055840277,117122.75095260347
1747,0.0,129401.26993122137,139478.1773999395,122911.22905638041,141386.06573934425,137695.3414647709
1753,0.0,120335.72050478766,116453.39432789665,133562.9870460582,122933.56518434137,126762.63527273832
1759,0.0,115212.21926584601,123470.085339929,138263.44086831645,113454.30069086398,104020.7936390191
1777,0.0,94961.97704331682,103754.76661368422,127725.73740939738,103094.48451903564,108104.84575550967
1783,0.0,166263.92294602573,170231.73414007542,161548.3064175215,141876.79838460093,137438.93226875446
1787,0.0,135964.73109083337,115861.45264648934,137021.3268586126,124478.16716034175,10518.410815649599
1789,0.0,152645.66514571203,137677.90096880417,138016.94005299185,124722.14009859349,138094.94891534114
1801,0.0,177332.58287266118,178638.83694797632,177788.3180708597,170778.94986743745,192902.332504533
1811,0.0,103940.46154429854,103766.06161430269,140131.7770041549,139244.37799349724,29646.163933550586
1823,0.0,142399.23702817658,130989.90240142655,136220.2870271225,119261.1508465579,143504.60575734603
1831,0.0,99753.00129361585,127964.92495322919,102763.2826177608,104839.37012822439,107205.1049947621
1847,0.0,116597.02937476092,109298.18415079167,98535.03769289756,114152.54516358623,123169.26798986689
1861,0.0,118706.55353130295,112481.80131298378,103879.63742586382,118006.97557485382,98512.39897909113
1867,0.0,65265.952436379506,67708.68084595697,74498.03888223457,79017.37584702109,86587.16131209632
1871,0.0,138714.80133532124,139128.7860111512,113893.55390971754,140489.43453201462,119757.71027478899
1873,0.0,132726.79858983582,116414.87094665476,108653.20239344864,135572.51417439114,126924.98784834682
1877,0.0,140871.69005865618,138090.10761474026,129933.40722651081,121557.0495481402,111601.46019138003
1879,0.0,127276.0904927916,137182.03503259536,157612.30437726603,141640.18048568568,137410.00011347272
1889,0.0,119286.63645290403,137458.22567022147,112394.53018960691,128849.13020548364,122281.59792116561
1901,133591.70892841968,126322.63021304706,132664.4016412681,128810.74435895847,129240.70410275413,134735.1725757492
1907,0.0,145043.9277326661,137049.78793484997,136550.6586104405,121122.8708929266,149114.14857321302
1913,0.0,88241.59554801998,70385.3042223466,69840.25106590729,85152.21565256926,75096.66462347226
1931,0.0,120848.09140654097,118982.44527813677,99210.02610297786,110663.09359589167,117595.76103142368
1933,0.0,148539.48898084095,151067.95629623084,145248.54161891493,130011.44075531667,120751.96703842553
1949,0.0,112312.44638038383,122934.60850466105,112368.95002649688,101768.2545482712,122243.74207431372
1951,0.0,113071.97774847859,119648.25827475953,124470.99156100434,105461.55659381459,104147.19554415048
1973,0.0,145771.13991057684,118915.08712165298,105242.19690986387,124160.38923397927,151569.65036783664
1979,135564.25414849375,121233.23960456008,139734.66927144196,112251.28344368085,115510.32093832806,128514.0132552601
1987,0.0,105282.64671333674,97939.5771240542,105013.96824006719,84236.2960703993,89123.57756100938
1993,0.0,160426.17733440167,173087.63800594053,154970.56274673704,138543.40860855655,164939.67437544154
1997,0.0,114823.99652635268,122079.53007025825,101700.89224983161,122958.0051385937,134805.93015644042
1999,0.0,119778.18062912843,116179.19798085756,133244.56112867148,109702.56950581634,11894.438529935685
